Schichten,Neuronen,Dropout,LR,Epochen,Val_RMSE
1,"(128,)",0.2000,0.0010,25,1.2071
1,"(64,)",0.2000,0.0010,25,1.2921
2,"(128, 64)",0.3000,0.0010,25,1.5147
2,"(128, 64)",0.2000,0.0005,22,1.6220
1,"(32,)",0.1000,0.0010,25,1.6922
2,"(64, 32)",0.2000,0.0010,25,1.7385
2,"(64, 32)",0.3000,0.0005,23,1.8882
3,"(128, 64, 32)",0.3000,0.0005,25,2.0937
