Date,Open,High,Low,Close,Volume
2015-01-02,0.4824230670928955,0.4860178989724025,0.47475413050855675,0.4824230670928955,113680000
2015-01-05,0.4824229305926865,0.48386086293763036,0.4721178249711194,0.4742746949195862,197952000
2015-01-06,0.4749936671383387,0.4754729684031047,0.4594161903352706,0.4598954916000366,197764000
2015-01-07,0.4632506345467974,0.4673247667682681,0.45725929724339903,0.45869722962379456,321808000
2015-01-08,0.4639697094418256,0.4788282522906651,0.46373004446595795,0.4759523868560791,283780000
2015-01-09,0.4776300530233031,0.48146452177316446,0.47115938343679203,0.4778696894645691,209540000
2015-01-12,0.47906792700212114,0.47930759199715156,0.46756455005087794,0.471878319978714,190732000
2015-01-13,0.4754730185196233,0.4850591591011549,0.4678041117681886,0.4711592495441437,236720000
2015-01-14,0.46612655191918845,0.47451442509068353,0.4649282843232606,0.4730764925479889,155260000
2015-01-15,0.47643168146387593,0.4793075181161624,0.46948171193781635,0.46972137689590454,188932000
2015-01-16,0.4690024645076,0.478828271815531,0.4675645317316734,0.478348970413208,181512000
2015-01-20,0.48170410827329385,0.4843402802676754,0.47379553515223416,0.4797869026660919,140308000
2015-01-21,0.47715074520644696,0.48769551984341425,0.4737955779528373,0.4864972233772278,144780000
2015-01-22,0.48745546375341736,0.4963226910225836,0.48242275946919694,0.49488475918769836,159712000
2015-01-23,0.4953644485512182,0.4972817116570472,0.4912903430159797,0.4963231086730957,120416000
2015-01-26,0.49416595697402954,0.49656249178011924,0.4910504560123233,0.49416595697402954,133240000
2015-01-27,0.4864972625342088,0.48697659258684756,0.4694818455964822,0.47044047713279724,357948000
2015-01-28,0.47619193308845853,0.47810916671044795,0.4625316613873774,0.46277132630348206,272728000
2015-01-29,0.4630110409657519,0.476671285565548,0.4608541421959194,0.4740351140499115,235340000
2015-01-30,0.4706799942943984,0.47619203138203364,0.45941628372250776,0.46013522148132324,298200000
2015-02-02,0.4630109935479951,0.47211783187152956,0.4539041552244606,0.4702005982398987,259604000
2015-02-03,0.47355588161627576,0.4824230863242813,0.47115934598037335,0.4819437563419342,183468000
2015-02-04,0.48050581680810206,0.4886540254596324,0.47906785562113424,0.4831419885158539,181516000
2015-02-05,0.48362130091648803,0.49129023741555194,0.4831420280964926,0.4910506010055542,140448000
2015-02-06,0.49057131663140263,0.49632304810910677,0.4867368480255729,0.4888937473297119,210524000
2015-02-09,0.48601781205997874,0.48985222252854305,0.4829023107008421,0.48841434717178345,273944000
2015-02-10,0.4888936854206363,0.5023142952726163,0.4867367863896275,0.502074658870697,226204000
2015-02-11,0.503272860601464,0.503272860601464,0.49536428854698716,0.4987194836139679,320832000
2015-02-12,0.5272382754067684,0.5392209517968956,0.5241227738315446,0.5344278812408447,676904000
2015-02-13,0.5332294404989126,0.535386338805872,0.5250812341898116,0.5346673727035522,310084000
2015-02-17,0.5337089523952481,0.5389813532320439,0.5303538141981562,0.5363451242446899,203340000
2015-02-18,0.5356261514582972,0.5365848113355812,0.5291555115451427,0.5301141142845154,170948000
2015-02-19,0.5368244172086709,0.5377830198935313,0.5291554814539721,0.5315520167350769,169432000
2015-02-20,0.5310727028214657,0.5356260795062969,0.5272382352411574,0.5353864431381226,157752000
2015-02-23,0.5351472003592073,0.5351472003592073,0.528436862873883,0.5310730934143066,125008000
2015-02-24,0.5331176796453617,0.5367262959480286,0.5283061530031914,0.5367262959480286,149356000
2015-02-25,0.5345611708498876,0.5369669918848806,0.5302308191743474,0.5326365828514099,123820000
2015-02-26,0.5331176155834301,0.5372074070020341,0.5297495014523017,0.534079909324646,152864000
2015-02-27,0.5326365965241391,0.5338395070725142,0.5287873630704437,0.5307120084762573,157492000
2015-03-02,0.5292685559272101,0.5465900783516646,0.5285468210463634,0.5437031388282776,301512000
2015-03-03,0.5396131571426399,0.5422594792072416,0.5319146926809991,0.5335987210273743,160344000
2015-03-04,0.5316742220451955,0.5408160999261473,0.5295090178005267,0.5396132469177246,226840000
2015-03-05,0.5396131447529937,0.5509202247378496,0.5381696755298393,0.5499579310417175,323056000
2015-03-06,0.5468304890340148,0.5494768113065542,0.5420189627068968,0.5425001382827759,257392000
2015-03-09,0.5427407904608609,0.5480334932714498,0.5415378799938474,0.5439436435699463,222388000
